tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
180683,348711,2015-08-27T00:00:00.000,3,0,OnCurb,Alive,Fair,Acer rubrum,red maple,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,108-005 70 AVENUE,11375,Forest Hills,406,4,Queens,29,28,16,QN17,Forest Hills,4073900,New York,40.72309177,-73.84421522,1027431.148,202756.7687,29,739,4052307,4022210001
169659,312096,2015-08-23T00:00:00.000,9,0,OnCurb,Alive,Fair,Acer platanoides,Norway maple,None,None,Damage,Volunteer,"Stones,WiresRope,TrunkOther,BranchLights",Yes,No,No,Yes,No,Yes,Yes,No,No,143-016 41 AVENUE,11355,Flushing,407,4,Queens,20,40,16,QN22,Flushing,4085500,New York,40.759994,-73.82326355,1033211.497,216212.419,20,855,4443459,4050480013
165478,348286,2015-08-22T00:00:00.000,24,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,76-028 GRAND CENTRAL PARKWAY SR WEST,11375,Forest Hills,406,4,Queens,29,27,14,QN17,Forest Hills,4075701,New York,40.71762171,-73.83260139,1030654.127,200769.7983,,,,
150316,224157,2015-08-16T00:00:00.000,2,0,OnCurb,Alive,Good,Juglans nigra,black walnut,None,None,NoDamage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,226 NEVINS STREET,11217,Brooklyn,306,3,Brooklyn,33,52,25,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3007100,New York,40.68175712,-73.9858522,988173.9882,187659.2399,33,71,3336089,3004110024
159168,337886,2015-08-19T00:00:00.000,2,0,OnCurb,Alive,Poor,Koelreuteria paniculata,golden raintree,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,139-015 ROCKAWAY BEACH BOULEVARD,11694,Rockaway Park,414,4,Queens,32,23,15,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4092800,New York,40.57239929,-73.85662715,1024080.614,147849.5452,32,928,4306405,4162840004
194731,413529,2015-09-01T00:00:00.000,3,0,OnCurb,Alive,Poor,Acer platanoides 'Crimson King',crimson king maple,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,94 EAST BRANDIS AVENUE,10308,Staten Island,503,5,Staten Island,51,62,24,SI54,Great Kills,5014607,New York,40.5592431,-74.16327633,938881.0451,143066.1083,51,14607,5073103,5054940191
